"","LD1","LD2","LD3","LD4","LD5","LD6","LD7","LD8","LD9","LD10","LD11","LD12","LD13","LD14","LD15","LD16","LD17","LD18","LD19","LD20","LD21","LD22","LD23","LD24"
"sp.ent",-20.346241676806,-67.2147803043575,-2.98315315834836,16.260317049393,-2.98774143987256,44.1321144222103,-29.9978197426343,15.6507170804891,-12.1451719402693,68.0480953103544,-93.524688220755,-29.7158352891985,40.3339855280838,-30.1265091168022,-68.4927452377794,120.573392996069,-29.7379398528694,-1.30573703583577,-4.76887978411816,-40.999077590483,-28.3079005656134,11.5093231959861,1.96257113262535,-20.446817032515
"sfm",16.2216164465536,-8.08785711042624,11.2016357320949,4.84199094439811,7.89599699770881,-5.55333204678842,9.86925912157277,2.28916502868137,5.86851292335051,-3.98260597492996,-1.30980825208822,1.13576876162187,-4.54234662159895,-1.3076217036352,3.3802173121249,-0.537776694945828,-0.435858155679913,-0.540439466673622,2.94215386071018,-2.98359548060608,0.714337661629608,2.47653764185838,-0.863458479975246,0.421793887946
"entropy",10.8978400473015,110.291560871108,2.99461920839841,-36.3821596117667,-15.3237043735069,-25.5508084015773,-0.545001333981709,-20.7817060011478,-2.89864030826106,-67.4966028434483,132.441131683824,17.9646574672867,-30.1708349753933,47.3487917760819,65.4179088005171,-140.971651914939,31.9817086392691,9.44724471737976,-6.63988860389578,82.8729865261634,26.8681949417557,-21.8618744842746,-5.62064503634568,22.581829528974
"time.ent",-5.44791649689542,-90.3706008451886,2.54829966729545,24.4351737044465,25.6545754655777,21.2055681458979,10.9874957451358,1.9472674969081,12.7764919001588,67.5338312923891,-112.096550913795,-30.816627070325,25.5438912221745,-37.7412599491977,-53.1593348331889,116.845101422577,-28.9302799200123,-7.35558428410895,12.5131266183414,-75.2901432748163,-21.4434244280793,19.9666518368017,4.55050721037521,-19.7936348961281
"time.Q75",0.821668298422275,0.331328042806558,1.14187758212066,-0.917126519789753,-0.234798087046139,0.426811307901506,2.61563881457082,-0.856675705338576,-1.98876149461416,0.554761788004923,-1.39086113952354,0.312677320088576,0.248288660412898,1.11793628271591,-0.487988234572383,-0.859168378123443,-1.60543838043824,4.44130197945088,-1.07016621918383,-0.0811013511025036,2.38031454116927,2.6145458663254,0.886788796556184,-1.4555000354089
"sd",-0.754269685628751,0.106604669290526,0.299440984831492,-0.249543843877871,-0.0142996212521467,0.125847392572405,-0.0703125813685511,-0.0139523144460771,0.0118393890952249,0.0725235190372065,-0.0556862779324655,0.277110847583459,0.153687589403607,-0.0223138427571082,0.257394975514679,0.182162654234889,0.0145955036612407,-0.0982605728305071,0.0382042132207256,-0.085669620927302,0.171315750727093,-0.048664515407906,0.50460574605642,0.13844662270389
"time.Q25",0.751745936449232,1.08625156487561,2.38135193088499,-1.14587884178938,-1.67908080718965,4.2325435183911,5.06603240604489,-5.10908079004645,-1.24118310060688,-5.24639243786137,-2.26883309746506,-6.03853748022596,-0.273964446444366,3.4491739248553,0.356017867544753,1.30402776366288,1.46808472765582,6.26482892424041,-1.18726209491635,-2.44928577858506,4.24319043289202,4.69550981503812,1.23967714814354,-3.3132430807639
"time.IQR",0.696139905644847,-0.177711583868053,0.184984815026119,-0.597421456827976,0.658222580243943,-1.88745303105978,0.651333462473304,1.80614684260914,-2.02348089509622,3.83825118551514,-0.595143587785623,3.96720415430291,0.503704835052507,-0.473202189355,-0.883191957782999,-1.95140261357534,-3.07937462607408,2.47409547999882,-0.784818666160023,1.32161548535191,0.807603731821348,0.866718490103556,0.500563075947082,-0.0731495085893761
"time.median",0.649992735362762,2.28322359912126,-0.0547313735983302,0.172813936681832,1.1427643416498,1.5863849168274,3.59904251293063,-0.743926292609218,-1.73251462653903,-0.0373508740334819,0.554729301874049,2.73421092404925,0.814612045345697,-2.78671740551875,-0.0271450986118488,1.62236805702638,1.2112608621072,-9.29545383201001,2.76992094870819,2.2426611677929,-5.85507830599486,-6.90769649427348,-2.24289278960862,3.8236105890511
"skew",0.334665856373901,-0.397893345875742,0.566398888774151,-0.0124169833261406,0.191210448451068,-0.0385334496683726,-0.502616866698683,-0.0224637432555633,-0.541291261651083,-0.208580378749737,1.18553176918311,-0.662803054566566,-0.00980791024074568,-0.207382465095436,-1.11824230412428,0.58038027487251,-0.157255855921324,0.337216501171337,-0.313377059490056,0.839591340804961,-0.134861967217956,-0.419650099210058,-0.195588865666934,-0.428071198177531
"meanfreq",-0.181126092923256,-0.102307041897753,0.193704612299082,0.0901707030100993,0.0106078670568995,-0.0545533694617917,0.0850412837673815,0.0437369541750502,-0.00479735006626449,-0.0177614687989603,0.0805277876191341,0.0329337257512622,-0.249938284071081,0.188955307634459,-0.186339396035882,-0.157952923961674,0.0723063583973981,0.0964927474741688,-0.0233808919492328,-0.222032127270688,-0.217498189484013,0.040673159866146,-0.773741641422054,-0.142932163063098
"freq.Q75",0.0828524959788851,0.0137945184687785,-0.063496056945945,0.0301331137979,-0.0184563413342465,-0.0392159644018546,0.0189900928452342,0.0273672457083423,0.00064612642250836,-0.0208118095996268,-0.0389952666485453,-0.0673956259861074,0.0644296295768714,-0.118506365846895,0.0373902602693768,-0.00400799071415623,0.00151712024756569,0.0178808868870142,0.0594019879138799,0.0539107147685219,0.00920998370887601,-0.00765606347245904,0.129694779365984,-0.0120383796264505
"freq.IQR",0.0613577580794391,0.00334760165546193,-0.0505145933724247,0.0391584323819153,0.0105310885961392,-0.0410446611423941,0.0143331646208894,-0.00166136645677891,0.00821416094699617,-0.040944846978132,-0.0307922616191443,-0.0363531007162449,0.0406468131114324,-0.00126966080841061,0.0169130817755522,-0.0302091421470046,-0.0485234004215779,0.00632066490241948,-0.0363572576386031,-0.0182448893007372,-0.0335867478618199,-0.0277241770732339,0.0110314551724893,-0.00444785030539696
"modindx",0.0502752058379106,-0.139866813379431,0.208280481227785,-0.0780216564715194,-0.14133271343627,0.0150018357945556,-0.0849114146434158,0.190964349609369,-0.49466124980436,0.179755626911618,-0.00838385025015632,-0.312529324177546,-0.054529707808295,-0.113307872150977,-0.0617484009370685,-0.208762830065033,0.217853735231446,-0.270712309465622,-0.273841367323288,-0.562924693935432,-0.142041564743098,0.0176182708352892,0.30502187987966,0.152773004243825
"peakf",-0.0409182896834469,0.137716504767741,-0.00770217872069542,0.20658213177869,0.137126039837549,0.0876653465283233,0.0702910390111679,0.0977743691603114,0.0472004614859916,0.107065245234738,0.138550522772624,-0.0176019752979887,0.0636929449652761,0.0456639546403755,-0.0875655448139126,-0.0241507758604361,0.0267297514345353,-0.0773855663078492,-0.0212982941116433,-0.0650925816379581,0.112106200332768,0.0517087449616238,0.130461851767188,-0.0601652439059268
"freq.Q25",0.0310484668059417,0.0139299916843867,-0.0193411470539179,-0.0101914934707432,-0.0377834072881437,0.000613868380266367,0.00677235328864236,0.0382264711379815,-0.00962498785415495,0.0247683166452875,-0.0121722624052838,-0.042549597828544,0.0331595837640092,-0.154733441211947,0.0277580785079185,0.0332448722768067,0.0638950079919579,0.0155291447500479,0.124747812282773,0.094399838950269,0.0549924413951224,0.0252620752546806,0.157043496042494,-0.0102095992207986
"freq.median",0.0235515944712821,-0.0212783195435822,-0.022825474452244,-0.0257278513403008,-0.0111021938466008,-0.0433818859243684,0.00340316223471455,-0.0344306621468583,0.0148768464662232,-0.0124484723259878,-0.00963449382318688,-0.00366456726985375,0.0103647885396655,0.0461453742204281,-0.0134491326161594,0.0651914104665276,-0.0186170744399919,-0.105496928075487,-0.0254686975037883,0.11115348572069,0.1156525564555,0.0134522125924207,0.19466018848766,0.0560406316355411
"mindom",-0.0209267348659716,0.00701538705147125,0.0274315817739001,0.0400606591606339,0.00896424044156032,0.0364800716826814,-0.0217727532663216,0.0529496532226527,-0.0190411587740796,0.0252458208677919,0.0135579673402321,-0.0844555742736003,-0.0815216589791123,-0.0429256226830977,0.065383712570453,0.0465057493954939,-0.0542013060327407,0.0626109224037068,-0.0308517147336107,0.0253037512603693,-0.00752951814534332,0.0455709652175759,0.0183138046624734,0.305066494306144
"kurt",-0.0152295158403977,0.0140317332943189,-0.02535519966621,0.00123116185880159,-0.0141147340453449,0.0140066168774268,0.0123088860380307,0.00435001639037466,0.0137590100546358,0.0196061383345121,-0.0482197027467953,0.0169939333624357,0.0180973869937388,0.0309298364978245,0.058536407609169,-0.0418293795916119,0.0247479517623707,-0.0118268153262358,0.00941257569321368,-0.0112570011965467,0.00259850094792048,0.0143702549826592,0.00324312712151572,0.0185398798861661
"enddom",0.0097316084695113,-0.0108490253118072,0.00910516379215362,0.0110688471066953,-0.0255916410653446,-0.0160466232548823,-0.0111605837191648,-0.0176805675016532,-0.0419593559195685,0.0132665866626734,0.0276021370746922,-0.0175781746875836,0.0185725268963312,-0.0376382267513275,0.0760129509416011,0.0199294922786787,-0.0364278628526787,-0.057628296267294,0.00316580738769755,-0.00863674120725867,0.0739414079898625,0.0290763156139433,-0.0632563906449123,-0.0344791278316083
"dfrange",0.0054192770828812,0.00299396370020602,-0.000759007649798279,0.00466754142902556,0.00315689630167282,-0.00188708778595577,-0.00311869988329834,-0.0102210231333693,0.00189997727726288,0.000523288523500872,0.00438916737743073,0.0112570849453154,0.0225003618241557,-0.0161307310155405,-0.0111498624305701,0.00654105555420483,0.0246647894113226,0.0176579508678314,-0.00624668967323927,-0.00514303011471886,0.0166785627317413,-0.00249157427952431,-0.0143795452893148,0.0256164624478877
"duration",0.00528416910154029,-0.0716422771754784,-0.0323563454262646,0.145210926838145,-0.140496296993192,0.0597539719509582,0.0542769850021206,0.120716189166233,0.0108470296756903,-0.111301310526571,-0.0147602620592377,0.186683329198557,-0.0333734016485909,-0.0542421944371812,-0.0122851240940513,0.023035592685805,-0.106608842254842,-0.0114877995352995,-0.0181452604810377,0.0501649059640482,0.0152447353191855,0.00187071346545811,-0.0130523006948748,-0.00174285555253969
"maxdom",0.00357399207066884,0.00343949645744222,0.0014316000598313,0.00765887094238223,0.00375025719335967,0.00105768370546277,-0.00472353606231348,-0.00567760586245131,0.00033000440400891,0.00249539076807846,0.00530046447762661,0.00419178317476787,0.0152619388597116,-0.0189355899719923,-0.00559245761819824,0.00997325320087309,0.0195030272356021,0.0219602818877212,-0.00845497379686761,-0.00296250456716607,0.0154847343347725,0.00119186790278343,-0.0124179605163045,0.0487529322243723
"meandom",-0.00269793915851315,0.00181747037211902,-0.0219525020457636,-0.0247141623156131,0.0167618826348456,0.0112711131078863,0.0214274761785124,-0.0830042254145825,0.0850144622617496,0.00248205901600521,0.0314099030940636,0.0896727486694206,0.0561485994217903,0.0750758378630267,0.102963906593624,0.046994896646342,-0.0531022763205986,0.0218419868858239,-0.129244651055252,0.0238645528829099,-0.183536875270293,-0.0299883290760581,0.127537464727886,-0.175095611795033
"startdom",0.00268630328582399,0.00843386172771763,0.0113480255430965,0.0265617826927835,0.0303864627453479,0.00671563461559575,-0.0432545200231855,-0.0153341287670284,-0.0269474866461147,-0.0272052443251482,-0.0471638802201558,0.0162635484013066,-0.0433837261179873,0.0364387143399357,-0.0629907355427312,-0.0515916167110754,0.00332032421854457,0.014940953007155,0.0830410204275614,-0.00724185413725712,-0.0332736987754456,-0.0100327041772511,0.0499483369640248,0.00743889620247247
"meanpeakf",-0.00193825525986848,0.00839564780053762,-0.000139967962689338,-0.00287406507845089,-0.0101350477581432,0.00134943419491802,-0.00278324414924223,0.019303980357647,-0.0102419803220604,0.00409940950564669,-0.0148138949609225,-0.0173009809681761,-0.00882322527416892,0.0150250318924926,-0.00482751142557397,0.00331107579333394,-0.0119002751798683,0.0162742174415881,-0.00228837943985552,-0.0289956584933993,0.0609451849616996,-0.0923620900617188,-0.00681010802654605,0.0145986081732155
"dfslope",2.55739608784438e-05,5.09722798239471e-05,-4.44448794104937e-05,-8.2236157845755e-05,7.91979952560296e-05,1.05034218851302e-05,1.08274103378968e-06,0.000149589669154545,5.61264149471426e-05,-0.000199757759072266,-5.98252144786147e-05,0.000168601881902318,-4.70503153645649e-05,0.00057927663480362,-0.000670239930234811,-0.00019398753921496,0.000137069914165477,0.00038400840308786,0.000651839996534003,-0.000189581749023236,-0.000561249755711478,-0.000163712517371383,0.000535216283845707,0.000266274814160523
