"","LD1","LD2","LD3","LD4","LD5","LD6","LD7"
"time.Q25",-418.901895561346,20.353332926776,-250.906821867417,-75.169844465974,-440.97045561556,355.434000100891,95.5351947640117
"time.Q75",60.5334882496523,69.5729828681191,26.7212923787941,-30.5149479494998,23.5984764850369,-34.0350135481017,-68.6510124834794
"meandom",23.6092575831411,13.8685292655226,-49.1686863105721,-35.8963522750394,-43.4672677213159,-79.6938692882389,-37.9473453497964
"sp.ent",18.9512997735825,4.92054042134181,-8.1505650260631,8.21502317083105,-56.5303435153859,9.82990923742963,55.6699873787435
"time.ent",18.2491692453875,4.13276588320161,-57.3132589880222,60.1843807911008,-58.5990192839595,-6.78693397392203,14.1085396064486
"entropy",-16.7759704266209,15.0050080622926,45.6635610533324,-93.5103709100373,78.0862451940247,-5.07347978787174,-31.1060133711221
"time.IQR",-12.2325461128818,10.3963209633566,-37.4517002929385,25.9932835247975,-35.1954235451291,55.9278682226714,64.2742241054661
"sfm",6.15510694662308,-4.60268566640237,1.4588105454802,19.171431584219,-8.03969698178259,-16.1710247783699,-20.3386752585854
"freq.Q75",-5.84831194471712,1.99356171945345,3.10621306581199,-1.28776601304352,-2.00619079858275,1.72967056393866,-1.16589947740381
"time.median",3.17297725952058,10.3543503362369,-12.8235866012129,-9.90892440347943,6.30961939238127,-21.6740634731151,-7.68707595642985
"freq.IQR",3.1360980443504,2.97683934686107,-2.34948328912356,1.71869286376641,2.38020519180512,0.334194638833202,3.00411722246834
"duration",-2.71379348550391,-6.66355135222067,5.18633124319441,4.25001322398903,1.24818512195904,-0.197221155123207,1.64826841953137
"freq.Q25",-2.62054526232294,2.26500587992209,11.0511618324418,19.7641497047405,73.4859089316152,36.0365524231942,30.5608164649426
"modindx",-1.60832365819591,-1.11077600390268,0.187006108399106,-1.00496434347127,-0.109898876578073,-1.28265376270517,1.20500150429681
"mindom",-1.19495839398735,1.01226411662487,-0.243591443923705,-0.89098375314648,-1.56658163466754,-1.25088410295245,1.93207587091786
"meanpeakf",0.336220518792014,0.258631821355407,0.0732292014149536,-0.163070151744098,-0.0953238637884944,-0.44694994255394,-0.931706658442836
"sd",-0.281971169452372,0.550834086885356,0.0703258120532552,0.195495066294547,0.0369756872277953,-0.102603361578449,0.200826344424613
"kurt",0.268150875511384,0.555975989284739,0.554673568841065,1.13806313934674,2.29136656855723,6.94062887536048,-4.19455863459705
"freq.median",-0.25171077139316,-0.0306665450513705,-0.209672134818004,-0.566153875795315,-0.0636888228101383,0.755339262667849,-0.114821373697195
"enddom",0.233769702357672,-0.549409708233882,-0.469222986970941,0.0702579786465397,-0.512410435154776,-0.540010082249908,-0.899431714702198
"dfrange",-0.229335381082372,0.269316134677195,-0.455871778570544,-0.519661144705654,-0.520248617236142,0.0952218171259518,0.99337401137232
"meanfreq",-0.210827913154767,0.0590617914544145,-0.0599576835124774,0.0168614408944089,0.176746626563698,0.11747510563094,0.0223184946846839
"skew",-0.103781437903468,-1.57820605390485,-1.44837227296948,-3.98306305040103,-6.46334903598713,-14.8527145370143,9.2185164115523
"peakf",-0.100672461736117,0.0129452978976728,0.0335247343803444,-0.0065185464286839,0.00979313854507534,-0.0117547928499549,-0.0687817544658811
"startdom",-0.0537666177522739,0.0398310353909109,0.0217238000392853,2.18087378872252e-05,-0.0520770676082107,0.048529917695493,-0.0136041451681064
"maxdom",0.0288990558205882,-0.048350596285057,0.0266687405939875,0.0228444353142681,0.0164902768771848,-0.0212743842062987,-0.135557904331784
"dfslope",-2.02391435402063e-05,2.95801061475261e-05,5.46923625505989e-06,-0.000107876423040585,4.28457491232295e-05,-5.03638825267502e-05,2.17656296725987e-05
